0,1
"# 2. Decision Tree Classifier on W100_O50_Features

evaluate_model.decission_tree_classifier_model()","#-------------------- #2. Decission Tree Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}

Best score:  0.5348086262128361



#---------- Random Search -----------#

Best parameters:  {'min_samples_split': 2, 'max_depth': None, 'criterion': 'entropy'}

Best score:  0.533663244033037

Decission Tree Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.72      0.73      0.73      3031

           1       0.82      0.82      0.82      3168

           2       0.62      0.63      0.63      3416

           3       0.64      0.64      0.64      3333

           4       0.54      0.53      0.54      3404

           5       0.35      0.35      0.35      2958

           6       0.32      0.31      0.32      3123

           7       0.45      0.46      0.46      3334

           8       0.68      0.73      0.71      2473

           9       0.84      0.84      0.84      2536

          10       0.68      0.66      0.67      2993

          11       0.50      0.51      0.51      3257

          12       0.46      0.46      0.46      3213

          13       0.46      0.45      0.45      2681

          14       0.40      0.41      0.41      2473



    accuracy                           0.57     45393

   macro avg       0.57      0.57      0.57     45393

weighted avg       0.57      0.57      0.57     45393



K-fold cross-validation scores: [0.66273128 0.66408178 0.66267184 0.6542122  0.66531547 0.65438844

 0.65685583 0.66108565 0.66954529 0.68082481]

Mean K-fold cross-validation score: 0.6631712595827012

Straified cross validation scores: [0.66555066 0.66214311 0.66372929 0.65068735 0.65826577 0.66231935

 0.66284808 0.66249559 0.66214311 0.65385971]

Mean Straified cross-validation score: 0.6604042024909977
"
"# 4. Gaussian Naive Bayes on W100_O50_Features

evaluate_model.gaussian_naive_bias_classifier_model()","#-------------------- #4. Gaussian Naive Bias Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'var_smoothing': 0.0001}

Best score:  0.24656051018036984



#---------- Random Search -----------#

Best parameters:  {'var_smoothing': 0.0001}

Best score:  0.24656051018036984



Gaussian Naive Bias Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.16      0.81      0.27      3031

           1       0.12      0.07      0.09      3168

           2       0.11      0.05      0.07      3416

           3       0.19      0.50      0.27      3333

           4       0.23      0.13      0.16      3404

           5       0.30      0.17      0.22      2958

           6       0.14      0.07      0.09      3123

           7       0.13      0.08      0.10      3334

           8       0.53      0.62      0.57      2473

           9       0.80      0.71      0.76      2536

          10       0.47      0.58      0.52      2993

          11       0.30      0.02      0.04      3257

          12       0.03      0.00      0.00      3213

          13       0.15      0.06      0.08      2681

          14       0.13      0.03      0.05      2473



    accuracy                           0.25     45393

   macro avg       0.25      0.26      0.22     45393

weighted avg       0.24      0.25      0.21     45393





K-fold cross-validation scores: [0.13497797 0.13746916 0.135178   0.13746916 0.13429679 0.1247797

 0.13112443 0.13306309 0.13165315 0.12989073]

Mean K-fold cross-validation score: 0.13299021892891136



Straified cross validation scores: [0.12722467 0.12883327 0.13130067 0.12795206 0.13077194 0.13112443

 0.13412055 0.14134649 0.13412055 0.13623546]

Mean Straified cross-validation score: 0.1323030097872823
"
"# 5. Support Vector Classifier on W100_O50_Features

evaluate_model.support_vector_classifier_model()","#-------------------- #5. Support Vector Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}

Best score:  0.5836261324575477



#---------- Random Search -----------#

Best parameters:  {'kernel': 'rbf', 'gamma': 0.1, 'C': 1000}

Best score:  0.5836261324575477



Support Vector Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.79      0.81      0.80      3031

           1       0.86      0.87      0.86      3168

           2       0.61      0.74      0.67      3416

           3       0.61      0.71      0.66      3333

           4       0.61      0.65      0.63      3404

           5       0.43      0.50      0.46      2958

           6       0.46      0.35      0.40      3123

           7       0.52      0.48      0.50      3334

           8       0.75      0.81      0.78      2473

           9       0.89      0.88      0.88      2536

          10       0.62      0.81      0.70      2993

          11       0.52      0.53      0.52      3257

          12       0.46      0.31      0.37      3213

          13       0.59      0.49      0.53      2681

          14       0.55      0.42      0.47      2473



    accuracy                           0.62     45393

   macro avg       0.62      0.62      0.62     45393

weighted avg       0.61      0.62      0.61     45393





K-fold cross-validation scores: [0.17867841 0.17342263 0.19210434 0.18382094 0.17359887 0.17201269

 0.17712372 0.17571378 0.19985901 0.18805076]

Mean K-fold cross-validation score: 0.1814385146560787



Straified cross validation scores: [0.17127753 0.18258724 0.1753613  0.18452591 0.18558336 0.17659499

 0.17959112 0.18734579 0.17800493 0.1799436 ]

Mean Straified cross-validation score: 0.1800815777664251
"
"# 6. K-Nearest Neighbors on W100_O50_Features

evaluate_model.knn_classifier_model()","#-------------------- #6. K-Nearest Neighbors Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'metric': 'minkowski', 'n_neighbors': 100, 'p': 1, 'weights': 'distance'}

Best score:  0.5176236532579929



#---------- Random Search -----------#

Best parameters:  {'weights': 'distance', 'p': 1, 'n_neighbors': 100, 'metric': 'minkowski'}

Best score:  0.5176236532579929



K-Nearest Neighbors Metrics: 

              precision    recall  f1-score   support



           0       0.67      0.66      0.67      3031

           1       0.71      0.84      0.77      3168

           2       0.46      0.71      0.56      3416

           3       0.54      0.67      0.60      3333

           4       0.55      0.53      0.54      3404

           5       0.36      0.40      0.38      2958

           6       0.43      0.20      0.27      3123

           7       0.34      0.48      0.40      3334

           8       0.50      0.86      0.64      2473

           9       0.91      0.77      0.83      2536

          10       0.58      0.69      0.63      2993

          11       0.62      0.46      0.53      3257

          12       0.75      0.35      0.48      3213

          13       0.56      0.33      0.41      2681

          14       0.51      0.24      0.33      2473



    accuracy                           0.55     45393

   macro avg       0.57      0.55      0.54     45393

weighted avg       0.56      0.55      0.53     45393





K-fold cross-validation scores: [0.3785022  0.37715897 0.376454   0.37539655 0.37945012 0.37733521

 0.37486782 0.37046176 0.37839267 0.38508988]

Mean K-fold cross-validation score: 0.37731091818465556



Straified cross validation scores: [0.37726872 0.376454   0.37099048 0.37416285 0.37997885 0.37116673

 0.38861473 0.38526613 0.36429327 0.37856891]

Mean Straified cross-validation score: 0.3766764668889237
"
"# 7. AdaBoost Classifier on W100_O50_Features

evaluate_model.ada_boost_classifier_model()","#-------------------- #7. Ada-Boost Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'estimator': DecisionTreeClassifier(max_depth=1), 'learning_rate': 0.5, 'n_estimators': 100}

Best score:  0.2658628162888713



#---------- Random Search -----------#

Best parameters:  {'n_estimators': 100, 'learning_rate': 0.5, 'estimator': DecisionTreeClassifier(max_depth=1)}

Best score:  0.2658628162888713



Ada-Boost Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.21      0.30      0.24      3031

           1       0.22      0.49      0.30      3168

           2       0.23      0.21      0.22      3416

           3       0.11      0.01      0.02      3333

           4       0.26      0.29      0.27      3404

           5       0.35      0.34      0.34      2958

           6       0.18      0.05      0.08      3123

           7       0.15      0.34      0.20      3334

           8       0.37      0.59      0.46      2473

           9       0.47      0.67      0.55      2536

          10       0.25      0.23      0.24      2993

          11       0.25      0.02      0.04      3257

          12       0.34      0.35      0.34      3213

          13       0.12      0.04      0.06      2681

          14       0.23      0.03      0.05      2473



    accuracy                           0.26     45393

   macro avg       0.25      0.26      0.23     45393

weighted avg       0.24      0.26      0.22     45393





K-fold cross-validation scores: [0.31629956 0.29961227 0.31124427 0.32763483 0.29203384 0.31899894

 0.29943602 0.29873105 0.32040888 0.30842439]

Mean K-fold cross-validation score: 0.3092824057180213



Straified cross validation scores: [0.31577093 0.30260839 0.29379626 0.33239337 0.30948185 0.3163553

 0.30683821 0.32234755 0.31670779 0.31159676]

Mean Straified cross-validation score: 0.3127896409777034
"
"# 9. XGBoost Classifier on W100_O50_Features

evaluate_model.xg_boost_classifier_model()","-------------------- #8. XG Boost Classifier Model --------------------#

#---------- Grid Search ------------#
"
"# 1. Logistic Regression on W300_O25_Features

evaluate_model.logistic_regression_model()","#------------------- #1. Logistic Regression Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'C': 10, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}

Best score:  0.38751462123310865



#---------- Random Search -----------#
"
"# 1. Logistic Regression on W400_O25_Features

evaluate_model.logistic_regression_model()","#------------------- #1. Logistic Regression Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'C': 10, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}

Best score:  0.4081640780565512



#---------- Random Search -----------#

Best parameters:  {'solver': 'lbfgs', 'penalty': 'l2', 'max_iter': 500, 'C': 10}

Best score:  0.4081640780565512



Logistic Regression Metrics: 

              precision    recall  f1-score   support



           0       0.33      0.48      0.39       498

           1       0.45      0.64      0.53       520

           2       0.32      0.38      0.35       561

           3       0.28      0.49      0.36       546

           4       0.39      0.33      0.35       558

           5       0.45      0.48      0.47       488

           6       0.44      0.38      0.41       514

           7       0.24      0.24      0.24       548

           8       0.63      0.68      0.66       406

           9       0.92      0.86      0.89       426

          10       0.72      0.77      0.75       497

          11       0.31      0.20      0.24       527

          12       0.34      0.15      0.21       517

          13       0.41      0.27      0.32       439

          14       0.38      0.12      0.18       405



    accuracy                           0.43      7450

   macro avg       0.44      0.43      0.42      7450

weighted avg       0.43      0.43      0.42      7450





K-fold cross-validation scores: [0.20747423 0.22390464 0.22036082]

Mean K-fold cross-validation score: 0.21724656357388317



Straified cross validation scores: [0.22326031 0.2123067  0.22068299]

Mean Straified cross-validation score: 0.21875
"
"# 2. Decision Tree Classifier on W400_O25_Features

evaluate_model.decission_tree_classifier_model()","#-------------------- #2. Decission Tree Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2}

Best score:  0.46670562568178275



#---------- Random Search -----------#

Best parameters:  {'min_samples_split': 5, 'max_depth': 20, 'criterion': 'entropy'}

Best score:  0.4624149394836632



Decission Tree Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.61      0.66      0.64       498

           1       0.76      0.73      0.74       520

           2       0.53      0.61      0.57       561

           3       0.50      0.56      0.53       546

           4       0.46      0.45      0.45       558

           5       0.42      0.37      0.40       488

           6       0.27      0.27      0.27       514

           7       0.39      0.40      0.40       548

           8       0.60      0.59      0.59       406

           9       0.83      0.83      0.83       426

          10       0.62      0.65      0.64       497

          11       0.33      0.29      0.31       527

          12       0.25      0.23      0.24       517

          13       0.44      0.43      0.43       439

          14       0.36      0.35      0.36       405



    accuracy                           0.49      7450

   macro avg       0.49      0.50      0.49      7450

weighted avg       0.49      0.49      0.49      7450





K-fold cross-validation scores: [0.59310567 0.57667526 0.56507732]

Mean K-fold cross-validation score: 0.5782860824742267



Straified cross validation scores: [0.56185567 0.58795103 0.59342784]

Mean Straified cross-validation score: 0.581078178694158
"
"# 3. Random Forest Classifier on W400_O25_Features

evaluate_model.random_forest_classifier_model()","#-------------------- #3. Random Forest Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 100}

Best score:  0.5478087718386924



#---------- Random Search -----------#

Best parameters:  {'n_estimators': 100, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': True}

Best score:  0.5478139663740411



Random Forest Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.72      0.76      0.74       498

           1       0.75      0.83      0.79       520

           2       0.54      0.75      0.63       561

           3       0.57      0.64      0.60       546

           4       0.50      0.62      0.55       558

           5       0.48      0.63      0.54       488

           6       0.43      0.42      0.42       514

           7       0.49      0.43      0.45       548

           8       0.68      0.87      0.76       406

           9       0.94      0.92      0.93       426

          10       0.73      0.86      0.79       497

          11       0.56      0.30      0.39       527

          12       0.57      0.33      0.42       517

          13       0.60      0.41      0.49       439

          14       0.57      0.34      0.43       405



    accuracy                           0.60      7450

   macro avg       0.61      0.61      0.60      7450

weighted avg       0.60      0.60      0.59      7450





K-fold cross-validation scores: [0.69974227 0.70231959 0.68653351]

Mean K-fold cross-validation score: 0.6961984536082474



Straified cross validation scores: [0.68556701 0.69652062 0.69329897]

Mean Straified cross-validation score: 0.6917955326460481
"
"# 4. Gaussian Naive Bayes on W400_O25_Features

evaluate_model.gaussian_naive_bias_classifier_model()","#-------------------- #4. Gaussian Naive Bias Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'var_smoothing': 1e-09}

Best score:  0.2814148182778384



#---------- Random Search -----------#

Best parameters:  {'var_smoothing': 1e-09}

Best score:  0.2814148182778384



Gaussian Naive Bias Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.14      0.91      0.25       498

           1       0.15      0.04      0.07       520

           2       0.24      0.12      0.17       561

           3       0.13      0.07      0.09       546

           4       0.25      0.19      0.22       558

           5       0.37      0.27      0.31       488

           6       0.35      0.28      0.31       514

           7       0.15      0.10      0.12       548

           8       0.53      0.62      0.57       406

           9       0.70      0.75      0.72       426

          10       0.56      0.65      0.60       497

          11       0.35      0.07      0.12       527

          12       0.40      0.06      0.10       517

          13       0.23      0.11      0.15       439

          14       0.29      0.08      0.12       405



    accuracy                           0.28      7450

   macro avg       0.32      0.29      0.26      7450

weighted avg       0.31      0.28      0.25      7450





K-fold cross-validation scores: [0.25998711 0.22487113 0.26385309]

Mean K-fold cross-validation score: 0.2495704467353952



Straified cross validation scores: [0.23228093 0.24871134 0.26675258]

Mean Straified cross-validation score: 0.24924828178694158
"
