,Source,Model,Accuracy,Precision,Recall,F1 Score,K-Fold Score,Stratified K-Fold Score
45,W300_O25,K-Nearest Neighbors,0.47,0.5,0.47,0.45,0.33890982,0.338268523
46,W300_O25,AdaBoost Classifier,0.25,0.26,0.25,0.23,0.271271967,0.25814485
47,W300_O25,Gradient Boost,0.59,0.58,0.59,0.58,0.660529417,0.6685341
48,W300_O25,XGBoost Classifier,0.62,0.61,0.62,0.61,0.695669643,0.701752263
49,W300_O25,Artificial Neural Network,0.46,0.44,0.46,0.44,0.113666,0.12975
50,W300_O50,Logistic Regression,0.42,0.42,0.42,0.4,0.20304673,0.202618513
51,W300_O50,Decision Tree Classifier,0.53,0.53,0.53,0.53,0.627899547,0.62934249
52,W300_O50,Random Forest Classifier,0.65,0.65,0.65,0.64,0.746766207,0.746713087
53,W300_O50,Gaussian Naive Bayes,0.25,0.29,0.25,0.23,0.246979903,0.24719395
54,W300_O50,Support Vector Classifier,0.62,0.61,0.62,0.61,0.11175822,0.111918777
55,W300_O50,K-Nearest Neighbors,0.51,0.54,0.51,0.49,0.366595087,0.369054247
56,W300_O50,AdaBoost Classifier,0.19,0.21,0.19,0.17,0.25708202,0.267451333
57,W300_O50,Gradient Boost,0.62,0.62,0.62,0.62,0.696312123,0.698503277
58,W300_O50,XGBoost Classifier,0.66,0.66,0.66,0.66,0.72725814,0.730411323
59,W300_O50,Artificial Neural Network,0.52,0.51,0.52,0.5,0.229342,0.243934
60,W400_O25,Logistic Regression,0.43,0.43,0.43,0.42,0.217246563,0.21875
61,W400_O25,Decision Tree Classifier,0.49,0.49,0.49,0.49,0.578286083,0.58107818
62,W400_O25,Random Forest Classifier,0.6,0.6,0.6,0.59,0.696198457,0.691795533
63,W400_O25,Gaussian Naive Bayes,0.28,0.31,0.28,0.25,0.249570443,0.249248283
64,W400_O25,Support Vector Classifier,0.58,0.57,0.58,0.57,0.088380587,0.094716493
65,W400_O25,K-Nearest Neighbors,0.44,0.49,0.44,0.41,0.346112543,0.346434707
66,W400_O25,AdaBoost Classifier,0.23,0.24,0.23,0.21,0.24291237,0.251932993
67,W400_O25,Gradient Boost,0.59,0.59,0.59,0.59,0.67042526,0.67482818
68,W400_O25,XGBoost Classifier,0.62,0.61,0.62,0.61,0.701245703,0.70092354
69,W400_O25,Artificial Neural Network,0.47,0.46,0.47,0.46,0.125744,0.126074
70,W400_O50,Logistic Regression,0.43,0.44,0.43,0.42,0.21496767,0.2140352
71,W400_O50,Decision Tree Classifier,0.51,0.52,0.51,0.51,0.628829673,0.62488273
72,W400_O50,Random Forest Classifier,0.65,0.65,0.65,0.64,0.745640613,0.747936497
73,W400_O50,Gaussian Naive Bayes,0.31,0.32,0.31,0.27,0.261318547,0.25550501
74,W400_O50,Support Vector Classifier,0.62,0.62,0.62,0.62,0.100164853,0.103178537
75,W400_O50,K-Nearest Neighbors,0.48,0.51,0.48,0.46,0.371169973,0.368730753
76,W400_O50,AdaBoost Classifier,0.24,0.23,0.24,0.19,0.23886064,0.261318593
77,W400_O50,Gradient Boost,0.64,0.64,0.64,0.64,0.70904759,0.704813723
78,W400_O50,XGBoost Classifier,0.66,0.65,0.66,0.65,0.734591127,0.7310035
79,W400_O50,Artificial Neural Network,0.51,0.51,0.51,0.5,0.231326,0.22824
80,W500_O25,Logistic Regression,0.42,0.42,0.42,0.41,0.207801223,0.209684787
81,W500_O25,Decision Tree Classifier,0.45,0.45,0.45,0.45,0.580770267,0.577672463
82,W500_O25,Random Forest Classifier,0.57,0.58,0.57,0.56,0.69791549,0.694418427
83,W500_O25,Gaussian Naive Bayes,0.29,0.32,0.29,0.26,0.20659138,0.202290143
84,W500_O25,Support Vector Classifier,0.56,0.56,0.56,0.56,0.085811807,0.089307783
85,W500_O25,K-Nearest Neighbors,0.42,0.46,0.42,0.4,0.35117858,0.352120197
86,W500_O25,AdaBoost Classifier,0.24,0.2,0.24,0.18,0.244251227,0.22636078
87,W500_O25,Gradient Boost,0.57,0.57,0.57,0.57,0.67760672,0.684600363
88,W500_O25,XGBoost Classifier,0.6,0.6,0.6,0.6,0.71284575,0.7162071
89,W500_O25,Artificial Neural Network,0.57,0.56,0.57,0.56,0.276799,0.294015
90,W500_O50,Logistic Regression,0.45,0.45,0.45,0.44,0.227714581,0.227084438
91,W500_O50,Decision Tree Classifier,0.51,0.51,0.51,0.51,0.62188777,0.623332087
92,W500_O50,Random Forest Classifier,0.65,0.65,0.65,0.64,0.741880347,0.746842447
93,W500_O50,Gaussian Naive Bayes,0.29,0.34,0.29,0.27,0.202903953,0.19541582
94,W500_O50,Support Vector Classifier,0.63,0.62,0.63,0.62,0.093287927,0.095904193
95,W500_O50,K-Nearest Neighbors,0.48,0.51,0.48,0.46,0.373423067,0.378202543
96,W500_O50,AdaBoost Classifier,0.21,0.21,0.21,0.19,0.271021043,0.249549783
97,W500_O50,Gradient Boost,0.63,0.63,0.63,0.63,0.71697996,0.714452804
98,W500_O50,XGBoost Classifier,0.68,0.67,0.68,0.67,0.772736683,0.771924409
99,W500_O50,Artificial Neural Network,0.52,0.51,0.52,0.51,0.226723,0.241068
